Username,JS_Heap_Size_MB,Date,Time,Equipment,DeviceType
phz-op401,21.77262306213379,30/1/2024, 4:48:56 pm,BA036001,Balance
phz-op401,22.80002498626709,30/1/2024, 4:49:10 pm,BA036001,Balance
phz-op411,51.12900352478027,30/1/2024, 4:49:15 pm,SE054005,Conductivity Meter
phz-op410,28.74014663696289,30/1/2024, 4:49:16 pm,SE054004,pH Meter
phz-op401,24.054590225219727,30/1/2024, 4:49:24 pm,BA036001,Balance
phz-op401,22.285015106201172,30/1/2024, 4:49:38 pm,BA036001,Balance
phz-op411,36.16924476623535,30/1/2024, 4:49:46 pm,SE054005,Conductivity Meter
phz-op410,38.728511810302734,30/1/2024, 4:49:47 pm,SE054004,pH Meter
phz-op401,24.534345626831055,30/1/2024, 4:49:52 pm,BA036001,Balance
phz-op401,21.784890174865723,30/1/2024, 4:50:06 pm,BA036001,Balance
phz-op411,39.4193229675293,30/1/2024, 4:50:17 pm,SE054005,Conductivity Meter
phz-op410,39.533066749572754,30/1/2024, 4:50:18 pm,SE054004,pH Meter
phz-op401,25.29944610595703,30/1/2024, 4:50:20 pm,BA036001,Balance
phz-op401,23.549028396606445,30/1/2024, 4:50:34 pm,BA036001,Balance
phz-op401,25.80180549621582,30/1/2024, 4:50:48 pm,BA036001,Balance
phz-op411,40.104265213012695,30/1/2024, 4:50:49 pm,SE054005,Conductivity Meter
phz-op410,40.03669261932373,30/1/2024, 4:50:50 pm,SE054004,pH Meter
phz-op401,25.784286499023438,30/1/2024, 4:51:03 pm,BA036001,Balance
phz-op411,39.098121643066406,30/1/2024, 4:51:19 pm,SE054005,Conductivity Meter
phz-op410,40.52279186248779,30/1/2024, 4:51:20 pm,SE054004,pH Meter
phz-op411,41.03067398071289,30/1/2024, 4:51:49 pm,SE054005,Conductivity Meter
phz-op410,40.772918701171875,30/1/2024, 4:51:49 pm,SE054004,pH Meter
phz-op411,40.49573040008545,30/1/2024, 4:52:18 pm,SE054005,Conductivity Meter
phz-op410,42.493194580078125,30/1/2024, 4:52:18 pm,SE054004,pH Meter
phz-op410,41.48987865447998,30/1/2024, 4:52:48 pm,SE054004,pH Meter
phz-op411,42.16231060028076,30/1/2024, 4:52:49 pm,SE054005,Conductivity Meter
phz-op410,41.83939456939697,30/1/2024, 4:53:18 pm,SE054004,pH Meter
phz-op411,42.726980209350586,30/1/2024, 4:53:19 pm,SE054005,Conductivity Meter
phz-op411,43.12359046936035,30/1/2024, 4:53:49 pm,SE054005,Conductivity Meter
phz-op410,42.22187614440918,30/1/2024, 4:53:50 pm,SE054004,pH Meter
